Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
Branson and Virgin Galactic complete successful space flight	https://www.cbsnews.com/news/richard-branson-virgin-galactic-space-launch/	CBS News	48.04	-3.14	24,400,000	Left-Center	18.0	July 11, 2021		1.344147		High		
Ethiopia PM Abiy's party wins lanslide victory in election	https://www.reuters.com/world/africa/ethiopia-pm-abiys-party-wins-landslide-victory-parliamentary-election-2021-07-10/	REUTERS	49.3	-1.65	40,574,000	Neutral	19.0	July 11, 2021		-1.708777		Very High		
Heat Wave Killed An Estimated 1 Billion Sea Creatures, And Scientists Fear Even Worse	https://www.npr.org/2021/07/09/1014564664/billion-sea-creatures-mussels-dead-canada-british-columbia-vancouver	NPR	46.41	-5.24	38,240,000	Left-Center	20.0	July 11, 2021		-4.418188		Very High		
Soaring temps approaching all-time world record in the Southwest this weekend	https://www.accuweather.com/en/weather-forecasts/western-us-heat-wave-death-valley-las-vegas/978996	AccuWeather					21.0	July 11, 2021		0.853048				
Florida condo collapse sparks calls for tighter laws	https://www.wsj.com/articles/miami-area-condo-collapse-sparks-calls-for-tighter-laws-11625922002	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22.0	July 11, 2021		LOWDATA		Mostly Factual		
With an uptick in Covid-19 cases, there is growing alarm. 'We've seen almost an entire takeover in the Delta variant,' one state official says	https://www.cnn.com/2021/07/10/health/us-coronavirus-saturday/index.html	CNN	43.77	-8.78	79,900,000	Left	23.0	July 11, 2021		-1.28099		Mixed		
"In California's interior, there's no escapre from the desperate heat: ""Why are we even here?"""	https://www.theguardian.com/us-news/2021/jul/10/california-central-valley-extreme-heat-race	The Guardian	44.42	-9.93	88,750,000	Left-Center	24.0	July 11, 2021		-8.073488		Mixed		
Who killed Haiti's president? Plot thickens as Moise's guards come under scrutiny	https://www.latimes.com/world-nation/story/2021-07-10/haiti-president-assasinated	Los Angeles Times				Left-Center	25.0	July 11, 2021		LOWDATA		High		
How Indigenous leaders are pushing to vaccinate their hard-hit communities	https://www.nationalgeographic.com/culture/article/covid19-and-indigenous-communities	National Geographic	46.11	-2.58		Pro-Science	26.0	July 11, 2021		-4.793304		High		
Death toll reaches 86 in Surfside collapse. Site to be cleared 'sooner than expected'	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252697918.html	Miami Herald	46.7	-3.86		Left-Center	27.0	July 11, 2021		UNK		High		
One counselor, 665 students: Counselors stretched at Chicago's majority Latino schools	https://chicago.chalkbeat.org/2021/7/8/22566906/one-counselor-665-students-counselors-stretched-at-chicagos-majority-latino-schools	Chalkbeat					28.0	July 11, 2021		-9.464943				
Branson flight signals confidence in commercial spaceflight	https://www.washingtonpost.com/business/2021/07/09/rent-prices-rising/	CBS News	48.04	-3.14	24,400,000	Left-Center	29.0	July 11, 2021		-0.897372		High		
Rent prices are soaring as Americans flock back to cities	https://www.washingtonpost.com/business/2021/07/09/rent-prices-rising/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	30.0	July 11, 2021		-0.897372		Mostly Factual		
Third statue comes down in Charlottesville	https://www.nbcnews.com/news/us-news/robert-e-lee-statue-removed-charlottesville-n1273612	NBC News	45.81	-7.46	26,225,000	Left-Center	31.0	July 11, 2021		-7.296505		High		
Western states face possible all-time heat records this weekend	https://www.cnn.com/2021/07/10/weather/heat-records-weekend-rolling-blackouts-california/index.html	CNN	43.77	-8.78	79,900,000	Left	32.0	July 11, 2021		LOWDATA		Mixed		
Charlottesville Removes Robert E. Lee Statue That Sparked A Deadly Rally	https://www.npr.org/2021/07/10/1014926659/charlottesville-removes-robert-e-lee-statue-that-sparked-a-deadly-rally	NPR	46.41	-5.24	38,240,000	Left-Center	33.0	July 11, 2021		-2.60142		Very High		
Cat that lived in collapsed Surfside condo tower is found safe, reunited with family	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252676183.html	Miami Herald	46.7	-3.86		Left-Center	34.0	July 11, 2021		UNK		High		
Biden's bid to take on big business sets off battle over who holds power in U.S. economy	https://www.washingtonpost.com/business/2021/07/09/biden-executive-order-promoting-competition/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	35.0	July 11, 2021		-3.669677		Mostly Factual		
Scorching weekend heat expected to hit 30+ million people in West with temps up to 130 degrees	https://www.usatoday.com/story/news/nation/2021/07/09/weekend-heat-forecast-west-las-vegas-record-could-broken/7918244002/	USA Today	45.77	-4.12	44,075,000	Left-Center	36.0	July 11, 2021		2.316047		High		
Lawyers for Breonna Taylor's family sue police over existence of body camera footage	https://abcnews.go.com/US/lawyers-breonna-taylors-family-sue-police-existence-body/story?id=78753109#:~:text=LOG%20IN-,Lawyers%20for%20Breonna%20Taylor's%20family%20sue%20police%20over%20existence%20of,%2C%22%20said%20attorney%20Sam%20Aguiar.&text=%22Breonna's%20family%20has%20a%20right%20to%20the%20records%2C%22%20Taylor,a%20right%20to%20the%20records.%22	ABC News	47.28	-4.9	39,500,000	Left-Center	37.0	July 11, 2021		-0.499428		High		
We live in a desert. We have to act like it': Las Vegas faces reality of drought	https://www.theguardian.com/us-news/2021/jul/09/las-vegas-climate-change-drought-water-conservation	The Guardian	44.42	-9.93	88,750,000	Left-Center	38.0	July 11, 2021		-5.050603		Mixed		
A third of Wisconsin's wolves killed after losing protections this year, study says	https://www.nationalgeographic.com/animals/article/wisconsin-wolf-hunt-killed-one-third-state-population	National Geographic	46.11	-2.58		Pro-Science	39.0	July 11, 2021		2.7053		High		
Where Are The Newest COVID Hot Spots? Mostly Places With Low Vaccination Rates	https://www.npr.org/sections/health-shots/2021/07/09/1014512213/covid-is-surging-in-new-hotspots-driven-by-low-vaccination-rates	NPR	46.41	-5.24	38,240,000	Left-Center	40.0	July 11, 2021		-2.579977		Very High		
Why were Colombian ex-soldiers in Haiti? Experts say they are popular mercenaries	https://www.reuters.com/world/americas/why-were-colombian-ex-soldiers-haiti-experts-say-they-are-popular-mercenaries-2021-07-09/	REUTERS	49.3	-1.65	40,574,000	Neutral	41.0	July 11, 2021		1.430777		Very High		
U.S rebuffs Haiti troops request after president's assassination	https://www.reuters.com/world/americas/colombian-suspects-haiti-presidents-killing-arrived-via-dominican-republic-2021-07-09/	REUTERS	49.3	-1.65	40,574,000	Neutral	42.0	July 11, 2021		-2.05383		Very High		
Smaller cities jump in hot housing market	https://www.nbcnews.com/business/real-estate/where-do-you-move-after-selling-hot-market-smaller-city-n1273465	NBC News	45.81	-7.46	26,225,000	Left-Center	43.0	July 11, 2021		-0.366691		High		
Biden Targets Big Business in Sweeping Executive Order to Spur Competition	https://www.wsj.com/articles/biden-takes-aim-at-corporate-consolidation-big-business-tactics-11625832017	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	44.0	July 11, 2021		LOWDATA		Mostly Factual		
Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats	https://www.washingtonpost.com/politics/andrew-saul-social-security-/2021/07/09/c18a34fa-df99-11eb-a501-0e69b5d012e5_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	45.0	July 11, 2021		-5.856096		Mostly Factual		
Biden nominates L.A. Mayor Eric Garcetti as U.S. ambassador to India	https://timesofindia.indiatimes.com/world/us/biden-nominates-los-angeles-mayor-garcetti-as-us-ambassador-to-india/articleshow/84280282.cms	Los Angeles Times				Left-Center	46.0	July 11, 2021		-1.30664		High		
Death toll rises to 79 as more scientists examine cause of Surfside condo collapse	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252673583.html	Miami Herald	46.7	-3.86		Left-Center	47.0	July 11, 2021		UNK		High		
Missouri becomes group zero for COVID-19 battle	https://thehill.com/homenews/state-watch/562313-missouri-becomes-ground-zero-for-covid-19-battle	The Hill	44.99	-0.38	24,400,000	Neutral	48.0	July 11, 2021		-6.843912		Mostly Factual		
More Abortion Restrictions Have Been Enacted In The U.S. This Year Than In Any Other	https://www.npr.org/2021/07/09/1014475875/abortion-rights-laws-states-record-conservatives	NPR	46.41	-5.24	38,240,000	Left-Center	49.0	July 11, 2021		-4.174602		Very High		
Biden delivers a warning to Putin over ransomware attacks	https://www.politico.com/news/2021/07/09/biden-putin-ransomware-attack-498956	POLITICO	43.35	-7.19	23,750,000	Left-Center	50.0	July 11, 2021		-0.228083		High		
										ERROR				
State democrats announce plans for $3.5 trillion budget package to expand Medicare, advance Biden priorities	https://www.washingtonpost.com/us-policy/2021/07/13/infrastructure-senate-white-house/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	1.0	July 13, 2021	True	1.111766		Mostly Factual		
This is a test of our time, Biden says about voting rights	https://www.npr.org/2021/07/13/1015621049/texas-democrats-biden-voting-rights	NPR	46.41	-5.24	38,240,000	Left-Center	2.0	July 13, 2021	True	-5.153102		Very High		
