Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
Biden nominates L.A. Mayor Eric Garcetti as U.S. ambassador to India	https://timesofindia.indiatimes.com/world/us/biden-nominates-los-angeles-mayor-garcetti-as-us-ambassador-to-india/articleshow/84280282.cms	Los Angeles Times				Left-Center	46	July 11, 2021			High		
Death toll rises to 79 as more scientists examine cause of Surfside condo collapse	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article252673583.html	Miami Herald	46.7	-3.86		Left-Center	47	July 11, 2021			High		
Missouri becomes group zero for COVID-19 battle	https://thehill.com/homenews/state-watch/562313-missouri-becomes-ground-zero-for-covid-19-battle	The Hill	44.99	-0.38	24,400,000	Neutral	48	July 11, 2021			Mostly Factual		
More Abortion Restrictions Have Been Enacted In The U.S. This Year Than In Any Other	https://www.npr.org/2021/07/09/1014475875/abortion-rights-laws-states-record-conservatives	NPR	46.41	-5.24	38,240,000	Left-Center	49	July 11, 2021			Very High		
Biden delivers a warning to Putin over ransomware attacks	https://www.politico.com/news/2021/07/09/biden-putin-ransomware-attack-498956	POLITICO	43.35	-7.19	23,750,000	Left-Center	50	July 11, 2021			High		
													
State democrats announce plans for $3.5 trillion budget package to expand Medicare, advance Biden priorities	https://www.washingtonpost.com/us-policy/2021/07/13/infrastructure-senate-white-house/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	1	July 13, 2021	TRUE		Mostly Factual		
"This is a test of our time," Biden says about voting rights	https://www.npr.org/2021/07/13/1015621049/texas-democrats-biden-voting-rights	NPR	46.41	-5.24	38,240,000	Left-Center	2	July 13, 2021	TRUE		Very High		
After vaccination burnout, delta variant spurs countries to speed up shots	https://www.reuters.com/business/healthcare-pharmaceuticals/after-vaccination-burnout-delta-variant-spurs-countries-speed-up-shots-2021-07-13/	Reuters	49.3	-1.65	40,574,000	Neutral	3	July 13, 2021	TRUE		High		
more than 70 killed in South Africa protests after former leader Jacob Zuma	https://www.cnn.com/2021/07/13/africa/south-africa-violence-protests-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	4	July 13, 2021	TRUE		Mixed		
American league rolls to eight straight all-star game win, vladamir guerrero wins MVP	https://sports.yahoo.com/mlb-all-star-game-denver-american-league-wins-mvp-032028478.html	Yahoo Sports	42.71	-6.6		Left-Center	5	July 13, 2021	TRUE		Mixed		
the engineer who turned an xbox cheat into bitcoin millions	https://www.bloomberg.com/features/2021-microsoft-xbox-gift-card-fraud/	Bloomberg Businessweek				Left-Center	6	July 13, 2021	TRUE		Mostly Factual		
Senate democrats agree to $3.5 trillion tax, spending plan	https://www.bloomberg.com/news/articles/2021-07-14/senate-democrats-agree-to-3-5-trillion-tax-spending-bill	Bloomberg	45.76	-3.04	26,673,500	Left-Center	7	July 13, 2021	TRUE		Mostly Factual		
Biden calls passing voting legislation 'a national imperative' and castigates voting restrictions	https://www.washingtonpost.com/politics/biden-voting-speech/2021/07/13/afd91f7a-e3d9-11eb-8aa5-5662858b696e_story.html	the Washington Post	44.05	-7.42	76,195,000	Left-Center	8	July 13, 2021	TRUE		Mostly Factual		
Wildfires rage across parched wester US as smoke chokes the sky	https://www.accuweather.com/en/weather-forecasts/wildfires-burn-across-western-us-heat-wave/980304	AccuWeather				Unknown	9	July 13, 2021	TRUE		Unknown		
Texas senate passes GOP voting, bail bills despite House Democrats' walkout	https://www.texastribune.org/2021/07/13/voting-bill-texas-senate/	The Texas Tribune	45.9	-4.27		Left-Center	10	July 13, 2021	TRUE		High		
Cuba protests: one man killed and more than 100 missing in historic unrest	https://www.theguardian.com/world/2021/jul/13/cuba-protests-activists-journalists-protesters-detained	The Guardian	44.42	-9.93	88,750,000	Left-Center	11	July 13, 2021	TRUE		Mixed		
Senate democrats agree to $3.5 trillion healthcare and antipoverty plan	https://www.wsj.com/articles/infrastructure-deals-revenue-hopes-raise-gop-concerns-11626216975	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	12	July 13, 2021	TRUE		Mostly Factual		
Inflation accelerates again in June as economic recovery continues	https://www.wsj.com/articles/us-inflation-consumer-price-index-june-2021-11626125947	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13	July 13, 2021	TRUE		Mostly Factual		
Four Iranians charged with plotting to kidnap author living in Brooklyn	https://www.nbcnews.com/news/us-news/four-iranians-charged-plotting-kidnap-author-living-brooklyn-n1273890	NBC news	45.81	-7.46	26,225,000	Left-Center	14	July 13, 2021	TRUE		High		
COVID cases in parts of missouri and arkansas surge to levels not seen since winter	https://www.npr.org/2021/07/13/1015581093/covid-cases-in-parts-of-missouri-and-arkansas-surge-to-levels-not-seen-since-win	NPR	46.41	-5.24	38,240,000	Left-Center	15	July 13, 2021	TRUE		Very High		
Texas democrats heap pressure on Biden, congress for voting rights action	https://www.cnn.com/2021/07/13/politics/texas-house-democrats-buying-time/index.html	CNN	43.77	-8.78	79,900,000	Left	16	July 13, 2021	TRUE		Mixed		
West on fire, east under water as climate change fuels extremes	https://www.nbcnews.com/news/weather/west-catches-fire-while-east-goes-under-water-climate-change-n1273815	NBC news	45.81	-7.46	26,225,000	Left-Center	17	July 13, 2021	TRUE		High		
Haitians apprehensive of foreign troops as government seeks US help	https://www.reuters.com/world/americas/haitians-apprehensive-foreign-troops-government-seeks-us-help-2021-07-13/	Reuters	49.3	-1.65	40,574,000	Neutral	18	July 13, 2021	TRUE		High		
Texas senate passes voting bill, as democratic rivals push federal bill	https://www.wsj.com/articles/texas-senate-expected-to-take-up-vote-on-election-legislation-11626176054	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	19	July 13, 2021	TRUE		Mostly Factual		
2021 emmy awards nominations: the crown, ted lasso and wanda vision lead	https://www.yahoo.com/news/2021-emmy-awards-nominations-complete-153017342.html	People				Left	20	July 13, 2021	TRUE		High		
Biden denounces "21st century jim crow assault" on voting access	https://www.cbsnews.com/news/biden-voting-rights-speech-watch-live-today-2021-07-13/	CBS News	48.04	-3.14	24,400,000	Left-Center	21	July 13, 2021	TRUE		High		
Emmys: Disney leads all combined nominations as HBO tops netflix	https://www.hollywoodreporter.com/tv/tv-news/emmy-nominations-by-series-network-2021-1234981275/	Hollywood Reporter				Left-Center	22	July 13, 2021	TRUE		High		
How we'll know when the COVID-19 crisis is over	https://www.npr.org/2021/07/10/1014374383/covid-19-coronavirus-pandemic-when-its-over	NPR	46.41	-5.24	38,240,000	Left-Center	23	July 13, 2021	TRUE		Very High		
