Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
Local health authorities seek to curb Delta variant without new rules	https://www.wsj.com/articles/local-health-authorities-seek-to-curb-delta-variant-without-new-rules-11626826692	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	6	July 20, 2021	TRUE				
Biden's bipartisan infrastructure bill hits snag as GOP pushes to delay vote	https://www.usatoday.com/story/news/politics/2021/07/20/senate-vote-bipartisan-infrastructure/8024598002/	USA Today	45.77	-4.12	44,075,000	Left-Center	7	July 20, 2021	TRUE				
Trump ally tried to use influence to help UAE, prosecutors allege	https://www.washingtonpost.com/politics/thomas-barrack-indictment-trump/2021/07/20/d40b64f0-e985-11eb-84a2-d93bc0b50294_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	8	July 20, 2021	TRUE				
The Bootleg Fire in Oregon is so large, it's creating its own weather	https://www.wfft.com/content/news/574883902.html	CNN	43.77	-8.78	79,900,000	Left	9	July 20, 2021	TRUE				
COVID Warnings From Washington Rise With The Uptick In Cases Around The Country	https://www.npr.org/2021/07/20/1018511894/covid-warnings-from-washington-rise-with-the-uptick-in-cases-around-the-country	NPR	46.41	-5.24	38,240,000	Left-Center	10	July 20, 2021	TRUE				
Olympic softball: Meet the six teams going for gold	https://onherturf.nbcsports.com/2021/07/20/meet-the-teams-going-for-gold-2020-olympic-softball-tournament/	NBC Sports				Left-Center	11	July 20, 2021	TRUE				
Nothing short of historic.' Congress holds first hearing after Cuba protests	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252901058.html	Miami Herald	46.7	-3.86		Left-Center	12	July 20, 2021	TRUE				
Trump Ally Tom Barrack Is Charged With Acting as U.A.E. Foreign Agent	https://www.wsj.com/articles/tom-barrack-charged-with-acting-as-a-foreign-agent-for-the-uae-11626807733	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13	July 20, 2021	TRUE				
Extreme fire behavior has erupted in the West. Here's what that means.	https://www.washingtonpost.com/weather/2021/07/20/extreme-fire-behavior-west/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	14	July 20, 2021	TRUE				
Senate infrastructure talks may stretch into next week as failed vote looms	https://www.politico.com/news/2021/07/20/senate-infrastructure-vote-500282	Politico	43.35	-7.19	23,750,000	Left-Center	15	July 20, 2021	TRUE				
India's excess deaths during Covid 'could be 10 times official toll'	https://www.theguardian.com/world/2021/jul/20/india-excess-deaths-during-covid-could-be-10-times-official-toll	The Guardian	44.42	-9.93	88,750,000	Left-Center	16	July 20, 2021	TRUE				
We lost': Some U.S. veterans say blood spilled in Afghanistan was wasted	https://www.reuters.com/world/asia-pacific/we-lost-some-us-veterans-say-blood-spilled-afghanistan-was-wasted-2021-07-20/	Reuters	49.3	-1.65	40,574,000	Neutral	17	July 20, 2021	TRUE				
Don't be fooled into letting your guard down against Covid, US Surgeon General says	https://www.cnn.com/2021/07/20/health/us-coronavirus-tuesday/index.html	CNN	43.77	-8.78	79,900,000	Left	18	July 20, 2021	TRUE				
Why a new law requiring Asian American history in schools is so significant	https://www.vox.com/2021/7/20/22576138/asian-american-history-illinois-law	Vox	39.97	-11.26	13,948,400	Left	19	July 20, 2021	TRUE				
Massive Bootleg Fire burns in Oregon as officials seek outside help; smoke seen as far as New York	https://www.usatoday.com/story/news/nation/2021/07/20/bootleg-fire-oregon-wildfire-burns-dixie-fire-ongoing-california/8025601002/	USA Today	45.77	-4.12	44,075,000	Left-Center	20	July 20, 2021	TRUE				
Staffers in White House, Pelosi's office test positive for coronavirus	https://thehill.com/homenews/administration/563879-staffers-in-white-house-pelosis-office-test-positive-for-coronavirus	The Hill	44.99	-0.38	24,400,000	Neutral	21	July 20, 2021	TRUE				
The 2021 Olympics Are Turning Into a $20 Billion Bust for Japan	https://www.wsj.com/articles/the-2021-olympics-are-turning-into-a-20-billion-bust-for-japan-11626790720	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22	July 20, 2021	TRUE				
Blue Origin successfully sends Jeff Bezos and three others to space and back	https://www.theverge.com/2021/7/20/22582735/blue-origin-jeff-bezos-space-launch-landing	The Verge	44.07	-4.77	17,217,400	Left-Center	23	July 20, 2021	TRUE				
Delta variant surges to 83% of sequences Covid-19 cases in the U.S., CDC says	https://www.statnews.com/2021/07/20/delta-variant-surges-to-83-of-sequenced-covid-19-cases-in-the-u-s-cdc-says/	STAT	44.86	-2.7		Left-Center	24	July 20, 2021	TRUE				
Wildfires in the West balloon in size amid heat and drought, prompting evacuations	https://pages.facebook.com/Readywise/	Axios	46.38	-4.45	3,613,000	Left-Center	25	July 20, 2021	TRUE				
States are sitting on millions of surplus Covid-19 vaccine doses as expiration dates approach	https://www.statnews.com/2021/07/20/states-are-sitting-on-millions-of-surplus-covid-19-vaccine-doses-as-expiration-dates-approach/	STAT	44.86	-2.7		Left-Center	26	July 20, 2021	TRUE				
Unlikely Senate alliance aims to claw back Congress' foreign policy powers 'before it's too late'	https://www.politico.com/news/2021/07/20/bipartisan-senators-congress-war-powers-500214	Politico	43.35	-7.19	23,750,000	Left-Center	27	July 20, 2021	TRUE				
This deaf-blind Paralympian was told to navigate Tokyo alone. So she quit Team USA.	https://scoop.upworthy.com/deaf-blind-paralympian-becca-meyers-quits-team-usa-tokyo-paralympics-covid-restrictions	The Washington Post	44.05	-7.42	76,195,000	Left-Center	28	July 20, 2021	TRUE				
Blue Origin launch recap: Jeff Bezos soars to the edge of space	https://abcnews.go.com/Technology/live-updates/jeff-bezos-blue-origin-space-flight/?id=78924646	ABC News	47.28	-4.9	39,500,000	Left-Center	29	July 20, 2021	TRUE				
Still looking for answers': South Africa reels from deadly riots	https://www.aljazeera.com/news/2021/7/19/still-looking-for-answers-south-africa-reels-from-deadly-riots	Aljazeera				Left-Center	30	July 20, 2021	TRUE				
													
													
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke	https://www.reuters.com/lifestyle/sports/japan-former-pm-abe-will-not-attend-games-opening-ceremony-nhk-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	1	July 21, 2021	TRUE				
Smoke from California's wildfires could contain dangerous levels of  toxic metals, new research shows	https://www.sfchronicle.com/bayarea/article/Wildfire-smoke-is-more-harmful-than-previously-16328262.php	San Francisco Chronicle				Left-Center	2	July 21, 2021	TRUE				
What Vaccinated People Should Really Know About the Delta Variant's Threat to Them	https://slate.com/technology/2021/07/covid-delta-variant-risk-vaccinated-breakthrough-cases.html	Slate				Left 	3	July 21, 2021	TRUE				
US extends Covic-19 travel restrictions with Canada and Mexico through August 21	https://www.cnn.com/2021/07/21/politics/us-canada-mexico-travel/index.html#:~:text=(CNN)%20The%20Biden%20administration%20is,restrictions%20on%20a%20monthly%20basis.	CNN	43.77	-8.78	79,900,000	Left	4	July 21, 2021	TRUE				
Biden pleads with unvaccinated Americans to be inoculated as virus surges	https://www.washingtonpost.com/politics/biden-pleads-with-unvaccinated-americans-to-be-inoculated-as-virus-spikes/2021/07/21/275c19dc-ea3b-11eb-ba5d-55d3b5ffcaf1_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	5	July 21, 2021	TRUE				
Authorities in Cuba begin to punish young protesters in summary trials	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252929748.html	Miami Herald	46.7	-3.86		Left-Center	6	July 21, 2021	TRUE				
States reach $26 billion deal with three wholesalers and J&J to end opiod lawsuits	https://www.statnews.com/pharmalot/2021/07/21/opioid-settlement-johnson-and-johnson-mckesson/	STAT	44.86	-2.7		Left-Center	7	July 21, 2021	TRUE				
Republicans block debate on indrastructure bill, but final deal could solidify within days	https://www.washingtonpost.com/politics/infrastructure-schumer-gop/2021/07/21/0812be02-ea34-11eb-8950-d73b3e93ff7f_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	8	July 21, 2021	TRUE				
States anounch $26 Billion Settlement to Resolve Opioid Lawsuits	https://www.wsj.com/articles/states-announce-26-billion-settlement-to-resolve-opioid-lawsuits-11626890613	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	9	July 21, 2021	TRUE				
Heat waves are dangerous. Isolation and inequality make them deadly.	https://www.washingtonpost.com/climate-environment/2021/07/21/heat-wave-death-portland/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10	July 21, 2021	TRUE				
Infrastructure bill blocked by Senate Republicans as lawmakers haggle over details	https://www.usatoday.com/story/news/politics/2021/07/21/senate-vote-infrastructure-bipartisan-negotiations/8038813002/	USA Today	45.77	-4.12	44,075,000	Left-Center	11	July 21, 2021	TRUE				
Companies in Main will now have to pay to help fix the broken recycling system	https://www.fastcompany.com/90655072/maine-companies-will-now-have-to-pay-to-help-fix-the-broken-recycling-system?utm_source=postup&utm_medium=email&utm_campaign=world-changing-ideas&position=6&partner=newsletter&campaign_date=07162021	Fast Company				Left-Center	12	July 21, 2021	FALSE				
McCarthy pulls five Republicans from Capitol attack panel after Pelosi rejects two	https://www.theguardian.com/us-news/2021/jul/21/nancy-pelosi-capitol-attack-committee-republicans	The Guardian	44.42	-9.93	88,750,000	Left-Center	13	July 21, 2021	TRUE				
GOP blocks infrastructure debate as negotiators near deal	https://thehill.com/homenews/senate/564165-gop-blocks-infrastructure-debate-as-negotiators-near-deal	The Hill	44.99	-0.38	24,400,000	Neutral	14	July 21, 2021	TRUE				
Republicans abandon Capitol riot probe after Pelosi rejects Jordan, Banks	https://www.reuters.com/world/us/pelosi-blocks-house-republicans-jordan-banks-serving-jan-6-panel-2021-07-21/	Reuters	49.3	-1.65	40,574,000	Neutral	15	July 21, 2021	TRUE				
4 drug companies agree to pay $26 billion to resolve opioid lawsuits	https://www.nbcnews.com/news/us-news/4-companies-near-26-billion-settlement-resolve-opioid-lawsuits-n1274520	NBC News	45.81	-7.46	26,225,000	Left Center	16	July 21, 2021	TRUE				
McCarthy says Republicans will pull out of Jan. 6 committee unless Pelosi reverses decision	https://www.reuters.com/world/us/mccarthy-says-republicans-will-pull-out-jan-6-committee-unless-pelosi-reverses-2021-07-21/	Reuters	49.3	-1.65	40,574,000	Neutral	17	July 21, 2021	TRUE				
For unvaccinated, coronavirus is soaring again	https://www.washingtonpost.com/health/interactive/2021/unvaccinated-case-rate-delta-surge/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	18	July 21, 2021	TRUE				
California couple whose gender-reveal party sparked a wildfire charged with 30 crimes	https://www.theguardian.com/us-news/2021/jul/21/couple-gender-reveal-party-wildfire-charged	The Guardian	44.42	-9.93	88,750,000	Left-Center	19	July 21, 2021	TRUE				
McCarthy pulls his 5 GOP members from 1/6 committee after Pelosi rejects 2 of his picks	https://www.cnn.com/2021/07/21/politics/nancy-pelosi-rejects-republicans-from-committee/index.html	CNN	43.77	-8.78	79,900,000	Left	20	July 21, 2021	TRUE				
Infrastructure vote fails as senators try to salvage bipartisan deal	https://www.politico.com/news/2021/07/21/congress-bipartisan-infrastructure-deal-500408	Politico	43.35	-7.19	23,750,000	Left-Center	21	July 21, 2021	TRUE				
Thick smoke from Western wildfires is traveling thousands of miles, clouding NYC skies	https://www.usatoday.com/story/news/nation/2021/07/21/wildfire-smoke-cause-poor-air-quality-index-red-sun-nyc/8038354002/	USA Today	45.77	-4.12	44,075,000	Left-Center	22	July 21, 2021	TRUE				
Olympians Had to Train During a Pandemic. These Are Their Weirdest Stories.	https://www.wsj.com/articles/olympians-weird-training-pandemic-tokyo-11626838213	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	23	July 21, 2021	TRUE				
Covid-19 Takes Dramatic Toll on U.S. Life Expectancy	https://www.bloomberg.com/news/articles/2021-07-21/covid-19-takes-dramatic-toll-on-u-s-life-expectancy#:~:text=The%20U.S.%20has%20recorded%20a,1.5%20years%2C%20to%2077.3%20years.	Bloomberg	45.76	-3.04	26,673,500	Left-Center	24	July 21, 2021	TRUE				
Biden's Bipartisan Infrastructure Package Fails A Test Vote In The Senate	https://www.npr.org/2021/07/21/1018278440/bipartisan-infrastructure-package-faces-1st-test-vote-in-senate	NPR	46.41	-5.24	38,240,000	Left-Center	25	July 21, 2021	TRUE				
Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971	https://www.espn.com/nba/story/_/id/31851979/giannis-antetokounmpo-scores-50-points-game-6-nba-finals-milwaukee-bucks-win-club-1st-nba-title-1971	ESPN				Left-Center	26	July 21, 2021	FALSE				
At least 25 dead as rains deluge central China's Henan providence	https://www.reuters.com/world/china/heavy-rainfall-kills-12-central-chinas-henan-provincial-capital-xinhua-2021-07-20/#:~:text=At%20least%2025%20dead%20as%20rains%20deluge%20central%20China's%20Henan%20province,-Ryan%20WooStella%20Qiu&text=BEIJING%2C%20July%2021%20(Reuters),are%20forecast%20for%20the%20region.	Reuters	49.3	-1.65	40,574,000	Neutral	27	July 21, 2021	FALSE				
U.S. women thrashed by Sweden in stunning Olympic defeat	https://www.nbcolympics.com/news/us-women-thrashed-sweden-stunning-olympic-defeat	NBC Sports				Left-Center	28	July 21, 2021	TRUE				
Going furthur than CDC, pediatricians group recommends masks in schools even for the vaccinated	https://www.washingtonpost.com/health/2021/07/19/aap-mask-schools-vaccination/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	29	July 21, 2021	FALSE				
U.S. women's soccer team stunned by Sweden in opener	https://www.nbcnews.com/news/olympics/u-s-women-s-soccer-team-falls-sweden-olympic-opener-n1274581	NBC News	45.81	-7.46	26,225,000	Left Center	30	July 21, 2021	TRUE				
													
Is Cuba's communist party finally losing its hold on the country?	https://www.newyorker.com/news/daily-comment/is-cubas-communist-party-finally-losing-its-hold-on-the-country	The New Yorker	40.13	-13.3	19,425,000	Left	1	July 22, 2021	TRUE				
They lost loved ones to gun violence. Then their grief was politicized	https://www.theguardian.com/us-news/2021/jul/22/gun-violence-families-defund-police-movement	The Guardian	44.42	-9.93	88,750,000	Left-Center	2	July 22, 2021	TRUE				
Extreme heat triggers mass die-offs and stress for wildlife in the West	https://www.nationalgeographic.com/animals/article/extreme-heat-triggers-mass-die-offs-and-stress-for-wildlife-in-the-west#:~:text=News-,Extreme%20heat%20triggers%20mass%20die%2Doffs%20and%20stress%20for%20wildlife,crisis%20to%20the%20Pacific%20Northwest.	National Geographic	46.11	-2.58		Pro-Science	3	July 22, 2021	TRUE				
We’re Zeroing In On the ‘Holy Grail’ of COVID-19 Immunity	https://www.theatlantic.com/science/archive/2021/07/correlates-of-protection-vaccine-immunity/619508/	The Atlantic	40.14	-9.52	16,075,000	Left-Center	4	July 22, 2021	FALSE				
Public Health Experts Call On CDC To Change Its Mask Guidance	https://www.npr.org/sections/health-shots/2021/07/22/1019311989/public-health-experts-call-on-cdc-to-endorse-masking-indoors	NPR	46.41	-5.24	38,240,000	Left-Center	5	July 22, 2021	TRUE				
Striking To End 'Suicide Shifts,' Frito-Lay Workers Ask People To Drop The Doritos	https://www.npr.org/2021/07/21/1018634768/frito-lay-workers-are-in-the-third-week-of-a-strike-over-wages-and-working-condi	NPR	46.41	-5.24	38,240,000	Left-Center	6	July 22, 2021	FALSE				
CDC warns this is pivotal moment in fight against delta variant	https://www.washingtonpost.com/health/2021/07/22/walensky-pivotal-moment-delta-variant/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7	July 22, 2021	TRUE				
Wildfires have erupted across the globe, scorching places that rarely burned before	https://www.cnn.com/2021/07/22/world/wildfires-siberia-us-canada-climate-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	8	July 22, 2021	TRUE				
2 wounded in Washington, D.C., shooting near restaurants	https://www.cbsnews.com/news/washington-dc-shooting-latest-updates-2-wounded/	CBS News	48.04	-3.14	24,400,000	Left-Center	9	July 22, 2021	TRUE				
House passes bill to streamline visa process for Afghans who helped US	https://thehill.com/policy/defense/564306-house-passes-bill-to-streamline-visa-process-for-afghans-who-helped-us	The Hill	44.99	-0.38	24,400,000	Neutral	10	July 22, 2021	TRUE				
Mississippi asks Supreme Court to overturn Roe v. Wade	https://www.politico.com/news/2021/07/22/mississippi-supreme-court-roe-v-wade-abortion-500618	Politico	43.35	-7.19	23,750,000	Left-Center	11	July 22, 2021	TRUE				
Caught Between U.S. Policies and Instability at Home, Haitian Migrants in Tijuana Are in a State of Limbo	https://time.com/6080579/haitian-migrants-tijuana-us-policy/	TIME	44.02	-9.68	38,825,000	Left-Center	12	July 22, 2021	TRUE				
The common cold was rare during 2020 — but it’s having a resurgence	https://www.theverge.com/2021/7/22/22588448/flu-cold-covid-resurgence-season	The Verge	44.07	-4.77	17,217,400	Left-Center	13	July 22, 2021	TRUE				
White House boosts funding for Covid tests as infections continue to surge	https://www.nbcnews.com/politics/politics-news/white-house-boosts-funding-covid-tests-infections-continue-surge-n1274677	NBC News	45.81	-7.46	26,225,000	Left-Center	14	July 22, 2021	TRUE				
‘Nowhere is safe’: heat shatters vision of Pacific north-west as climate refuge	https://www.theguardian.com/us-news/2021/jul/21/pacific-northwest-heatwave-dome-climate-change	The Guardian	44.42	-9.93	88,750,000	Left-Center	15	July 22, 2021	TRUE				
Mississippi asks Supreme Court to overturn Roe v. Wade in upcoming case	https://www.washingtonpost.com/politics/courts_law/mississippi-abortion-supreme-court-roe-v-wade/2021/07/22/9b30cb8a-eb23-11eb-97a0-a09d10181e36_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	16	July 22, 2021	TRUE				
Biden condemns crackdown on protesters, orders sanctions against head of Cuban military	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252953303.html	Miami Herald	46.7	-3.86		Left-Center	17	July 22, 2021	TRUE				
You Adopted A Pandemic Pet. Now You're Going Back To The Office. What Next?	https://www.npr.org/2021/07/22/1016522446/you-adopted-a-pandemic-pet-now-youre-going-back-to-the-office-what-next	NPR	46.41	-5.24	38,240,000	Left-Center	18	July 22, 2021	TRUE				
U.S. sanctions Cuban officials over crackdown on protests as Biden warns: 'This is just the beginning'	https://www.cnbc.com/2021/07/22/us-sanctions-cuban-defense-minister-special-forces-over-crackdown-on-protests.html	CNBC	45.45	-2.05	27,050,000	Left-Center	19	July 22, 2021	TRUE				
COVID cases are surging, and it's not because of "breakthrough" infections	https://www.axios.com/covid-pandemic-cases-unvaccinated-vaccines-3d5ac3b0-78fb-473b-ae0b-0f8382d0501b.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	20	July 22, 2021	TRUE				
Simone Biles shows off Yurchenko double pike at Olympic podium training	https://www.nbcolympics.com/news/simone-biles-shows-yurchenko-double-pike-olympic-podium-training	NBC Sports	45.81	-7.46	26,225,000	Left-Center	21	July 22, 2021	TRUE				
Biden appoints special envoy to Haiti with an eye toward elections this year	https://www.miamiherald.com/news/nation-world/world/americas/haiti/article252947638.html	McClatchy				Left-Center	22	July 22, 2021	TRUE				
In America's least air-conditioned cities, brutal heat changes some peoples minds	https://www.washingtonpost.com/politics/extreme-heat-no-air-conditioning/2021/07/22/110f5c0e-e66a-11eb-a41e-c8442c213fa8_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23	July 22, 2021	TRUE				
Where do you go after 31 years in prison? He went to Walmart and brought his subscribers	https://www.nbcnews.com/news/nbcblk/go-31-years-prison-went-walmart-brought-subscribers-rcna1383	NBC News	45.81	-7.46	26,225,000	Left-Center	24	July 22, 2021	TRUE				
Biden administration releases COVID funds to boost local economies	https://www.reuters.com/world/us/biden-administration-releases-covid-funds-boost-local-economies-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	25	July 22, 2021	TRUE				
Tokyo Olympics Opening Ceremony director ousted for Holocaust jokes	https://sports.yahoo.com/olympics-tokyo-opening-ceremony-director-holocaust-comments-035331346.html	Yahoo Sports	42.71	-6.6		Left-Center	26	July 22, 2021	FALSE				
Hedge funds are outbidding first-time homebuyers by tens of thousands	https://www.nbcnews.com/business/real-estate/who-s-outbidding-you-tens-thousands-dollars-house-hedge-fund-n1274597	NBC News	45.81	-7.46	26,225,000	Left-Center	27	July 22, 2021	FALSE				
‘Where Is the Money?’: Millions Risk Eviction Over Delayed U.S. Aid	https://www.bloomberg.com/news/articles/2021-07-22/-where-is-the-money-millions-risk-eviction-on-tardy-u-s-aid	Bloomberg	45.76	-3.04	26,673,500	Left-Center	28	July 22, 2021	TRUE				
Biden predicts restaurants and businesses will be 'in a bind' for some time due to labor shortages	https://www.cnn.com/2021/07/21/politics/joe-biden-cnn-town-hall/index.html	CNN Politics	43.77	-8.78	79,900,000	Left	29	July 22, 2021	TRUE				
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke	https://www.reuters.com/lifestyle/sports/japan-former-pm-abe-will-not-attend-games-opening-ceremony-nhk-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	30	July 22, 2021	FALSE				
													
													
													
Jackie Mason, rabbi turned contentious comedian, has died at 93	https://www.hollywoodreporter.com/tv/tv-news/jackie-mason-rabbi-turned-contentious-comedian-dies-at-93-1234988070/	The Hollywood Reporter				Left-Center	1	July 24, 2021	TRUE				
Afghanistan curfew imposed as Taliban militants advance	https://www.bbc.com/news/world-asia-57933364	BBC News	46.44	-2.74	189,750,000	Left-Center	2	July 24, 2021	TRUE				
Four Months Ago They Were Celcebrating. Now Texas Doctors Are Once Again Preparing for the Worst.	https://www.texasmonthly.com/news-politics/texas-covid-fourth-wave-delta-variant/	Texas Monthly				Left-Center	3	July 24, 2021	TRUE				
Amid summer of fire and floods, a moment of truth for climate action	https://www.washingtonpost.com/climate-environment/2021/07/24/amid-summer-fire-floods-moment-truth-climate-action/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4	July 24, 2021	TRUE				
As it happened: U.S. wins six medals in first night of swimming finals	https://www.nbcolympics.com/news/swimming-day-2-finals-highlights-live-updates-how-watch	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5	July 24, 2021	TRUE				
Chase Kalisz swims to gold, earns Team USA's first metal in Tokyo	https://www.nbcolympics.com/news/chase-kalisz-swims-gold-earns-team-usas-first-medal-tokyo#:~:text=Chase%20Kalisz%20swims%20to%20gold%2C%20earns%20Team%20USA's%20first%20medal%20in%20Tokyo,-Share%20this%20article&text=American%20swimmer%20Chase%20Kalisz%20on,Litherland%20touched%20to%20secure%20silver.	NBC Sports	45.81	-7.46	26,225,000	Left-Center	6	July 24, 2021	TRUE				
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo	https://www.npr.org/sections/tokyo-olympics-live-updates/2021/07/24/1020110407/rebel-skateboarding-olympics-debut-tokyo-nyjah-sky-brown-sablone	NPR	46.41	-5.24	38,240,000	Left-Center	7	July 24, 2021	FALSE				
In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come	https://www.scmp.com/news/china/politics/article/3142323/china-zhengzhou-mops-other-cities-prepare-fa-flood-havoc-come	South Korea Morning Post					8	July 24, 2021	TRUE				
Murders are up. Crime is not. What's going on?	https://www.vox.com/22578430/murder-crime-2020-2021-covid-19-pandemic	Vox	39.97	-11.26	13,948,400	Left	9	July 24, 2021	FALSE				
Surge of covid delta variant poses new political threat to Biden and his agenda	https://www.washingtonpost.com/politics/biden-covid-delta-agenda/2021/07/23/11afddae-ebc0-11eb-ba5d-55d3b5ffcaf1_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10	July 24, 2021	TRUE				
The five largest burning wildfires in the U.S.	https://www.cbsnews.com/news/five-largest-burning-wildfires-in-the-country/	CBS News	48.04	-3.14	24,400,000	Left-Center	11	July 24, 2021	TRUE				
Atlantic City Is Just The Latest Place To Shut Down Its Needle Exchange Amid A Deadly Rise In US Overdose Deaths	https://www.buzzfeednews.com/article/danvergano/atlantic-city-shutters-needle-exchange	Buzzfeed News	43.3	-8.17	11,060,000	Left-Center	12	July 24, 2021	FALSE				
Team USA goes medal-less in Day 1 of Summer Olympics for first time in 49 years	https://sports.yahoo.com/team-usa-medal-drought-day-1-summer-olympics-49-years-104942695.html	Yahoo Sports	42.71	-6.6		Left-Center	13	July 24, 2021	TRUE				
Team USA qualifies fourth for men's gymnastics final in Tokyo	https://www.nbcolympics.com/news/team-usa-qualifies-fourth-mens-gymnastics-final-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	14	July 24, 2021	TRUE				
Heart-wretching': inside a hospital grappling with Delta and vaccine hesitancy	https://www.theguardian.com/us-news/2021/jul/24/tennessee-coronavirus-covid-delta-variant-cases-vaccines	The Guardian	44.42	-9.93	88,750,000	Left-Center	15	July 24, 2021	TRUE				
Anatomy of a monster: How the Dixie fire became California's biggest of the year	https://www.latimes.com/california/story/2021-07-24/how-the-dixie-fire-became-californias-largest-of-the-year-so-far	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	16	July 24, 2021	TRUE				
Vatican reveals property holdings for first time in transparency drive	https://www.reuters.com/world/europe/vatican-reveals-property-holdings-first-time-transparency-drive-2021-07-24/	Reuters	49.3	-1.65	40,574,000	Neutral	17	July 24, 2021	TRUE				
Thousands join Pride event in Hungary as LGBTQ people face growing hostility	https://www.cnn.com/2021/07/24/europe/budapest-hungary-pride-protest-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	18	July 24, 2021	TRUE				
USWNT rebounds from loss with 6-1 win over New Zealand	https://www.nbcnewyork.com/news/sports/tokyo-summer-olympics/uswnt-rebounds-from-loss-with-6-1-win-over-new-zealand/3172446/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	19	July 24, 2021	TRUE				
Florida leads U.S. in COVID-19 cases as hospitalizations surge	https://www.wsj.com/articles/florida-leads-u-s-in-covid-19-cases-as-hospitalizations-surge-11627131600	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	20	July 24, 2021	TRUE				
Wildfire smoke blowing across the U.S. is more toxic than we thought	https://www.nationalgeographic.com/environment/article/wildfire-smoke-blowing-across-country-more-toxic-than-we-thought	National Geographic	46.11	-2.58		Pro-Science	21	July 24, 2021	TRUE				
More than 130 dead in India as rain trigger floods, landslides	https://www.cnn.com/2021/07/23/india/floods-landslides-maharashtra-intl-hnk/index.html	CNN	43.77	-8.78	79,900,000	Left	22	July 24, 2021	TRUE				
The baby was gravely ill. Rapid sequencing turned around a diagnosis in 13 hours - and pointed to a treatment	https://www.statnews.com/2021/07/22/rapid-sequencing-baby-diagnosis-13-hours/	STAT	44.86	-2.7		Left-Center	23	July 24, 2021	FALSE				
Tokyo Olympics Day 1 Roundup: U.S. still seeking first medal	https://www.nbcolympics.com/news/tokyo-olympics-day-1-roundup-us-still-seeking-first-medal	NBC Sports	45.81	-7.46	26,225,000	Left-Center	24	July 24, 2021	TRUE				
"Patience has worn thin": Frustration mounts over vaccine holdouts	https://www.washingtonpost.com/health/2021/07/23/anger-targets-vaccine-holdouts-delta-surge/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	25	July 24, 2021	TRUE				
Stonehenge may lose world heritage status	https://www.theguardian.com/uk-news/2021/jul/23/stonehenge-may-be-next-uk-site-to-lose-world-heritage-status	The Guardian	44.42	-9.93	88,750,000	Left-Center	26	July 24, 2021	FALSE				
Althletes react as tradition, modern spectacle converge at 2020 Tokyo Olympic Games Opening Ceremony	https://www.nbcolympics.com/news/athletes-react-tradition-modern-spectacle-converge-2020-tokyo-olympic-games-opening-ceremony	NBC Sports	45.81	-7.46	26,225,000	Left-Center	27	July 24, 2021	FALSE				
Haiti's Slain President's Funeral Marked by Rage, Protests	https://www.wsj.com/articles/haitis-slain-presidents-funeral-marked-by-rage-protests-11627062203	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	28	July 24, 2021	TRUE				
